time	x error	y error	theta
1570	0.000000	0.000000	0.000000
1580	0.000000	0.000000	0.000000
1590	0.000000	0.000000	0.000000
1600	0.000000	0.000000	0.000000
1610	0.000000	0.000000	0.000000
1620	0.000000	0.000000	0.000000
1630	0.000000	0.000000	0.000000
1640	0.000000	0.000000	0.000000
1650	0.000000	0.000000	0.000000
1660	0.000000	0.000000	0.000000
1670	0.000000	0.000000	0.000000
1680	0.000000	0.000000	0.000000
1690	0.000000	0.000000	0.000000
1700	0.000000	0.000000	0.000000
1710	0.000000	0.000000	0.000000
1720	0.000000	0.000000	0.000000
1730	0.000000	0.000000	0.000000
1740	0.000000	0.000000	0.000000
1750	0.000000	0.000000	0.000000
1760	0.000000	0.000000	0.000000
1770	0.000000	0.000000	0.000000
1780	0.000000	0.000000	0.000000
1790	0.000000	0.000000	0.000000
1800	0.000000	0.000000	0.000000
1810	0.000000	0.000000	0.000000
1820	0.000000	0.000000	0.000000
1830	0.000000	0.000000	0.000000
1840	0.000000	0.000000	0.000000
1850	0.000000	0.000000	0.000000
1860	0.000000	0.000000	0.000000
1870	0.000000	0.000000	0.000000
1880	0.000000	0.000000	0.000000
1890	0.000000	0.000000	0.000000
1900	0.000000	0.000000	0.000000
1910	0.000000	0.000000	0.000000
1920	0.000000	0.000000	0.000000
1930	0.000000	0.000000	0.000000
1940	0.000000	0.000000	0.000000
1950	0.000000	0.000000	0.000000
1960	0.000000	0.000000	0.000000
1970	0.000000	0.000000	0.000000
1980	0.000000	0.000000	0.000000
1990	0.000000	0.000000	0.000000
2000	0.000000	0.000000	0.000000
2010	0.000000	0.000000	0.000000
2020	0.000000	0.000000	0.000000
2030	0.000000	0.000000	0.000000
2040	0.000000	0.000000	0.000000
2050	0.000000	0.000000	0.000000
2060	0.000000	0.000000	0.000000
2070	0.000000	0.000000	0.000000
2080	0.000000	0.000000	0.000000
2090	0.000000	0.000000	0.000000
2100	0.000000	0.000000	0.000000
2110	0.000000	0.000000	0.000000
2120	0.000000	0.000000	0.000000
2130	0.000000	0.000000	0.000000
2140	0.000000	0.000000	0.000000
2150	0.000000	0.000000	0.000000
2160	0.000000	0.000000	0.000000
2170	0.000000	0.000000	0.000000
2180	0.000000	0.000000	0.000000
2190	0.000000	0.000000	0.000000
2200	0.000000	0.000000	0.000000
2210	0.000000	0.000000	0.000000
2220	0.000000	0.000000	0.000000
2230	0.000000	0.000000	0.000000
2240	0.000000	0.000000	0.000000
2250	0.000000	0.000000	0.000000
2260	0.000000	0.000000	0.000000
2270	0.000000	0.000000	0.000000
2280	0.000000	0.000000	0.000000
2290	0.000000	0.000000	0.000000
2300	0.000000	0.000000	0.000000
2310	0.000000	0.000000	0.000000
2320	0.000000	0.000000	0.000000
2330	0.000000	0.000000	0.000000
2340	0.000000	0.000000	0.000000
2350	0.000000	0.000000	0.000000
2360	0.000000	0.000000	0.000000
2370	0.000000	0.000000	0.000000
2380	0.000000	0.000000	0.000000
2390	0.000000	0.000000	0.000000
2400	0.000000	0.000000	0.000000
2410	0.000000	0.000000	0.000000
2420	0.000000	0.000000	0.000000
2430	0.000000	0.000000	0.000000
2440	0.000000	0.000000	0.000000
2450	0.000000	0.000000	0.000000
2460	0.000000	0.000000	0.000000
2470	0.000000	0.000000	0.000000
2480	0.000000	0.000000	0.000000
2490	0.000000	0.000000	0.000000
2500	0.000000	0.000000	0.000000
